12,00
65,00
43,00
61,00
35,00
30,00
12,00
85,00
85,00
23,00
65,00
30,00
91,00
85,00
35,00
43,00
12,00
82,00
79,00
23,00
23,00
91,00
91,00
12,00
45,00
23,00
55,00
91,00
25,00
96,00
61,00
67,00
53,00
43,00
12,00
61,00
81,00
81,00
43,00
35,00
65,00
31,00
61,00
12,00
79,00
30,00
96,00
30,00
23,00
30,00
73,00
92,00
12,00
25,00
68,00
96,00
13,00
46,00
23,00
47,00
91,00
48,00
23,00
53,00
23,00
96,00
12,00
73,00
12,00
53,00
55,00
61,00
67,00
65,00
100,00
45,00
12,00
43,00
76,00
53,00
75,00
74,00
43,00
73,00
12,00
35,00
100,00
61,00
53,00
43,00
12,00
100,00
73,00
91,00
23,00
73,00
23,00
100,00
43,00
79,00
