bias	AVG	MED	GPR	CG
5	25.9656693	26.39169366	29.73854955	26.00639379
10	23.86007497	23.77074516	26.4289306	23.76652175
15	22.60999005	22.25428583	23.70434727	22.3424187
20	19.90101347	19.0996239	19.92236261	19.52342053
25	18.88589624	17.57856162	17.02646288	18.65098066
30	18.18101877	17.31269002	14.92125101	18.11184762
35	17.18728198	15.6437041	12.89479359	16.77422067
40	16.52660988	15.62014015	11.60975578	16.44753333
45	16.124854	15.46271181	10.05978414	16.08667127
50	14.91287157	13.48056091	7.765791576	14.5056016
55	14.38829788	13.3128963	6.822455027	14.20713393
60	13.44664873	12.42106945	5.464742098	13.25213029
65	12.53201899	11.21906164	4.529684249	12.23657142
70	11.33528097	9.977340056	4.096798897	10.89447771
75	10.10215878	9.070005072	3.398457503	10.03446849
80	8.927519308	8.052143628	3.114256316	8.879492778
85	7.376701241	6.526085596	2.633599134	7.243409625
90	5.153936787	4.527236729	1.945240962	5.101481353
95	3.070445375	2.586742894	1.282393309	2.967058914
100	0	0	0	0
